id,gameDuration,gameStartTimestamp,gameEndTimestamp,win,turretsLost,bountyLevel,damageDealtToTurrets,damageDealtToObjectives,damageDealtToBuildings,totalMinionsKilled,damagePerMinute,goldPerMinute,visionScorePerMinute,visionScoreAdvantageLaneOpponent,kda,maxCsAdvantageOnLaneOpponent,bountyGold,champion,laneOpponent,team,nlId
BR1_2479888823,1610,1647096266674,1647097876674,True,1,2,4781,22118,4781,167,5860.51101006943,612.9496823702972,0.3197768414916089,1.0738250017166138,7.25,55.0,0,Jax,Ornn,red,6
BR1_2479896378,1284,1647094067736,1647095351736,False,9,0,1300,4347,1300,107,3122.8676591691506,374.9417837203424,0.36136256311396303,0.7348255515098572,1.1428571428571428,4.0,300,Fiora,Tryndamere,blue,1
BR1_2479903110,1236,1647090340233,1647091576233,True,0,3,7688,23926,7688,98,5314.1283880511455,534.3640741423258,0.4408729214099199,,14.0,,0,Jax,Teemo,red,6
BR1_2479910669,1182,1647086562696,1647087744696,True,0,4,2547,7587,2547,19,5205.6792027290585,499.8783289025574,0.9782228549124528,1.7361855506896973,5.0,26.600000143051147,0,Jax,Camille,blue,2
BR1_2479911505,1312,1647088378711,1647089690711,True,2,0,5961,6555,5961,129,3938.898549257268,461.4029708674218,0.2777647428972371,,2.0,,0,Jax,Graves,red,6
BR1_2479951223,1156,1647098931309,1647100087309,True,0,0,9316,21237,9316,101,4480.366081878894,612.5930814391006,0.43716593488493266,1.5124766826629639,3.25,39.0,0,Jax,Mordekaiser,red,6
BR1_2479954912,1205,1647102157257,1647103362257,True,2,0,3545,3545,3545,125,3093.6338297976213,360.4327023819757,0.5169170352239617,0.612545907497406,1.0,11.0,0,Jax,Jayce,red,6
BR1_2479966888,1479,1647104013333,1647105492333,True,1,0,12191,31677,12191,125,4892.59783945731,415.72820348496333,0.38509119353136173,0.4543476998806,0.5,0.0,0,Jax,Shen,blue,1
BR1_2479980961,1410,1647106234868,1647107644868,True,2,0,8247,13404,8247,106,4395.6420213319,581.6285001884102,0.6135876430200018,0.6914740204811096,4.333333333333333,36.999999940395355,0,Jax,Quinn,blue,1
BR1_2479994762,1895,1647109001230,1647110896230,True,1,0,3236,3236,3236,159,3557.774452986141,409.37323164937493,0.4907907207415312,,2.142857142857143,,0,Jax,Poppy,red,8
BR1_2479999393,948,1647112065618,1647113013618,True,0,2,1644,1644,1644,70,2586.0121564255364,426.24004486474104,0.30885575675258825,0.46537551283836365,2.5,4.0,0,Jax,Kennen,blue,1
BR1_2480065470,1872,1647116431146,1647118303146,True,1,2,3679,7025,3679,157,3732.9899148570375,444.1933812764203,0.36381694879036114,0.32826921343803406,2.857142857142857,24.0,0,Jax,Teemo,red,6
BR1_2480090708,1409,1647113853265,1647115262265,True,0,0,8607,8950,8607,137,5005.143452710091,547.6144564289685,0.5307390809149738,,3.75,,0,Jax,Irelia,red,6
BR1_2480098848,209,1647119577259,1647119786259,False,0,0,0,0,0,14,1013.1868127411358,280.95949017198853,0.0,0.0,0.0,0.0,0,Tryndamere,Renekton,blue,5
BR1_2480121325,1397,1647120458737,1647121855737,False,10,0,9795,9795,9795,166,5513.1576696791135,525.4774217859949,0.5307904456160666,0.6677262187004089,1.6666666666666667,67.0,300,Jax,Shen,red,6
